State,Nuclear,Coal,Natural Gas,Peroleum ,Hydro,Geothermal,Solar,Wind,Biomass/Other
Alabama,27.4,27.2,36.5,0.1,6.6,0,0,0,2.2
Alaska,0,10.9,47.5,12.6,25.4,0,0,2.6,1
Arizona,28.7,31.9,29.8,0,5.8,0,3.1,0.4,0.2
Arkansas,24.9,39,26.7,0.1,6.6,0,0,0,2.7
California,9.3,0.2,59.4,0,7.1,6.2,7.6,6.2,4
Colorado,0,60.1,22.5,0,2.3,0,0.6,14.2,0.3
Connecticut,46.2,1.6,46.1,1.2,1.2,0,0.1,0,3.7
Delaware,0,7.7,88.4,2,0,0,0.8,0.1,1
District of Columbia,0,0,100,0,0,0,0,0,0
Florida,11.8,18.4,66.1,0.2,0.1,0,0.1,0,3.3
Georgia,26.4,29.1,39.1,0.1,1.7,0,0.1,0,3.5
Hawaii,0,14,0.6,69.8,1.1,2.3,0.8,6.1,5.3
Idaho,0,0.5,24.9,0,53.8,0.6,0,16.2,3.9
Illinois,50.1,38,5.7,0,0.1,0,0,5.5,0.4
Indiana,0,73.4,20.8,0.2,0.4,0,0.2,4.3,0.8
Iowa,9.2,53.3,4.3,0.1,1.4,0,0,31.3,0.5
Kansas,18.9,53.7,3.2,0.1,0,0,0,23.9,0.2
Kentucky,0,88,7.2,0.2,4.1,0,0,0,0.6
Louisiana,14.2,18,63.9,0.1,0.9,0,0,0,2.9
Maine,0,0.8,25.4,4.4,29.7,0,0,10.5,29.3
Maryland,40.2,38.3,12.4,0.7,4.5,0,0.4,1.2,2.4
Massachusetts,15.5,7,64.3,2.6,1.4,0,2.1,0.7,6.5
Michigan,25.7,47.1,19.5,0.1,0.9,0,0,4.2,2.6
Minnesota,20.9,44.1,13.1,0.1,0.9,0,0,17,3.8
Mississippi,18.1,9.9,69.8,0,0,0,0,0,2.3
Missouri,12.5,78.1,5.6,0.1,2.3,0,0,1.2,0.2
Montana,0,56.7,2.6,0.1,32.9,0,0,6.6,1.1
Nebraska,26.3,61.5,1.2,0.1,2.8,0,0,8,0.2
Nevada,0,6.8,73.2,0,5.9,8.8,4.4,0.8,0.1
New Hampshire,47,4.6,30,0.9,6.9,0,0,2.1,8.4
New Jersey,44.2,2.4,50.1,0.4,-0.2,0,1.1,0,2
New Mexico,0,62.2,28.9,0.2,0.4,0,2,6.3,0
New York,31.9,1.7,40.6,1.3,19.1,0,0.1,2.8,2.4
North Carolina,32.6,31.4,28.3,0.3,3.8,0,1.4,0,2.1
North Dakota,0,75.3,1.2,0.1,5.7,0,0,17.7,0.1
Ohio,14.2,59.6,23.8,0.2,0.4,0,0.1,1,0.7
Oklahoma,0,32.7,45.2,0,3.2,0,0,18.4,0.4
Oregon,0,4,27.4,0,54.9,0.3,0.1,11.3,1.9
Pennsylvania,37.3,30.4,27.9,0.3,1,0,0,1.6,1.6
Rhode Island,0,0,94.9,1.6,0.1,0,0.2,0.2,3
South Carolina,55.1,23.5,16.9,0.2,2,0,0,0,2.4
South Dakota,0,15.4,9.1,0.2,49.8,0,0,25.5,0
Tennessee,33.1,40.6,12.3,0.2,12.2,0,0.1,0.1,1.4
Texas,8.7,27,53.4,0,0.2,0,0.1,10,0.6
Utah,0,76,19.3,0,1.4,1.2,0.1,1.5,0.4
Vermont,0,0,0.1,0.2,59.5,0,3.1,15.4,21.7
Virginia,33.3,20.8,39.3,1.3,-0.1,0,0,0,5.4
Washington,7.4,4.6,12,0,67.6,0,0,6.5,1.8
West Virginia,0,94.2,1.8,0.2,1.8,0,0,1.9,0
Wisconsin,15,56.1,20.3,0.1,3.4,0,0,2.5,2.6
Wyoming,0,88.2,2.3,0.1,1.8,0,0,7.7,0
